Country,Code,Year,Life expectancy,GDP Per Capita,Population,Continent
Palestine,PSE,2015,73.442,5003,4529160,Asia
Panama,PAN,2015,77.776,20723,3968490,North America
Paraguay,PRY,2015,73.662,8539,6688746,South America
Peru,PER,2015,75.792,11445,30470739,South America
Philippines,PHL,2015,70.644,7047,102113206,Asia
Poland,POL,2015,77.859,24177,38034076,Europe
Portugal,PRT,2015,81.224,24915,10368346,Europe
Puerto Rico,PRI,2015,79.52,35384,3381512,North America
Qatar,QAT,2015,79.758,156029,2565708,Asia
Romania,ROU,2015,75.476,19320,19925182,Europe
Russia,RUS,2015,71.464,23691,144985059,Europe
Rwanda,RWA,2015,67.45,1693,11369066,Africa
Saint Lucia,LCA,2015,75.596,10185,179131,North America
Sao Tome and Principe,STP,2015,69.377,3545,199439,Africa
Saudi Arabia,SAU,2015,74.651,51681,31717676,Asia
Senegal,SEN,2015,66.747,2311,14578450,Africa
Serbia,SRB,2015,75.309,12765,8876777,Europe
Seychelles,SYC,2015,73.182,25690,94981,Africa
Sierra Leone,SLE,2015,52.941,1563,7171909,Africa
Singapore,SGP,2015,82.877,65660,5592143,Asia
Slovakia,SVK,2015,76.827,24588,5435614,Europe
Slovenia,SVN,2015,80.673,26268,2071199,Europe
South Africa,ZAF,2015,62.649,12246,55386369,Africa
South Korea,KOR,2015,82.1,35269,50823087,Asia
Spain,ESP,2015,82.981,31847,46671919,Europe
Sri Lanka,LKA,2015,76.316,10763,20908024,Asia
Sudan,SDN,2015,64.429,3625,38902948,Africa
Sweden,SWE,2015,82.251,43746,9764949,Europe
Switzerland,CHE,2015,83.142,59307,8296775,Europe
Syria,SYR,2015,69.908,3049,17997411,Asia
Taiwan,TWN,2015,79.743,41668,23557473,Asia
Tajikistan,TJK,2015,70.137,3789,8454019,Asia
Tanzania,TZA,2015,63.111,2566,51482638,Africa
Thailand,THA,2015,76.091,15020,68714519,Asia
Togo,TGO,2015,59.927,1370,7323162,Africa
Trinidad and Tobago,TTO,2015,72.941,30702,1370332,North America
Tunisia,TUN,2015,75.922,11060,11179951,Africa
Turkey,TUR,2015,76.532,19836,78529413,Asia
Turkmenistan,TKM,2015,67.704,22675,5565283,Asia
Uganda,UGA,2015,61.373,1954,38225447,Africa
Ukraine,UKR,2015,71.535,8961,44921636,Europe
United Arab Emirates,ARE,2015,77.285,74746,9262896,Asia
United Kingdom,GBR,2015,81.052,36941,65860149,Europe
United States,USA,2015,78.91,52591,320878312,North America
Uruguay,URY,2015,77.369,19244,3412013,South America
Uzbekistan,UZB,2015,70.928,9720,30929556,Asia
Venezuela,VEN,2015,72.584,18802,30081827,South America
Vietnam,VNM,2015,75.11,5763,92677082,Asia
Yemen,YEM,2015,66.085,2844,26497881,Asia
Zambia,ZMB,2015,61.737,3478,15879370,Africa
Zimbabwe,ZWE,2015,59.534,1560,13814642,Africa
